04-06-2021 14:02:11.927,-,AT,",0000100B00000A53,9XTend Hopping (version B),2004,COM5 - 9600/8/N/1/N,5,63"

04-06-2021 14:00:22.226,4176,RECV,30323B392E34343B3130313133312E34353B3131362E35333B3435343436393231383B2D3733363933393634383B30313A30313A3537
04-06-2021 14:00:24.113,4177,RECV,2D332E35363B302E30303B302E30303B2D302E36303B2D302E30313B392E3435
04-06-2021 14:00:24.176,4178,RECV,3B3130313133312E36323B3131362E35313B3435343436393231333B2D3733363933393635313B30313A30313A3539
04-06-2021 14:00:26.055,4179,RECV,2D332E3536
04-06-2021 14:00:26.118,4180,RECV,3B302E30303B302E30303B2D302E36303B2D302E30313B392E34333B3130313133312E38343B3131362E35303B3435343436393231303B2D3733363933
04-06-2021 14:00:26.190,4181,RECV,393635363B30313A30323A3031
04-06-2021 14:00:28.124,4182,RECV,2D332E35363B302E30
04-06-2021 14:00:28.187,4183,RECV,303B302E30303B2D302E36303B302E30303B392E34333B3130313133312E34353B3131362E35333B3435343436393230343B2D3733363933393635383B30
04-06-2021 14:00:28.277,4184,RECV,313A30323A3033
04-06-2021 14:00:30.130,4185,RECV,2D332E35363B302E30303B302E30303B2D302E36313B2D
04-06-2021 14:00:30.194,4186,RECV,302E30313B392E34353B3130313133312E35323B3131362E35323B3435343436393230323B2D3733363933393635383B30313A30323A3035
04-06-2021 14:00:32.075,4187,RECV,2D332E35363B302E30303B302E30303B2D302E36313B2D302E30313B39
04-06-2021 14:00:32.137,4188,RECV,2E34363B3130313133312E36383B3131362E35313B3435343436393230303B2D3733363933393635373B30313A30323A3037
04-06-2021 14:00:34.159,4189,RECV,2D332E35363B302E30303B302E30303B2D302E36323B2D302E30333B392E34333B3130313133312E38343B
04-06-2021 14:00:34.223,4190,RECV,3131362E35303B3435343436393139313B2D3733363933393635373B30313A30323A3039
04-06-2021 14:00:36.102,4191,RECV,2D332E35363B302E30303B302E30303B2D302E36313B2D
04-06-2021 14:00:36.166,4192,RECV,302E30313B392E34343B3130313133312E37383B3131362E35303B3435343436393138373B2D3733363933393636303B30313A30323A3131
04-06-2021 14:00:38.061,4193,RECV,2D332E35363B302E30303B302E30
04-06-2021 14:00:38.125,4194,RECV,303B2D302E36323B2D302E30313B392E34363B3130313133322E31373B3131362E34373B3435343436393137393B2D3733363933393636373B30313A30
04-06-2021 14:00:38.197,4195,RECV,323A3133
04-06-2021 14:00:40.155,4196,RECV,2D332E35363B302E30303B302E30303B2D302E36313B2D302E30313B392E34333B3130313133322E3032
04-06-2021 14:00:40.157,4197,RECV,3B
04-06-2021 14:00:40.227,4198,RECV,3131362E34383B3435343436393137323B2D3733363933393637303B30313A30323A3135
04-06-2021 14:00:42.106,4199,RECV,2D332E35363B302E30303B302E30303B2D302E35373B2D302E30313B39
04-06-2021 14:00:42.169,4200,RECV,2E34373B3130313133312E38343B3131362E35303B3435343436393136343B2D3733363933393637343B30313A30323A3137
04-06-2021 14:00:44.060,4201,RECV,2D332E35363B
04-06-2021 14:00:44.123,4202,RECV,302E30303B302E30303B2D302E35393B2D302E30313B392E34343B3130313133312E38343B3131362E35303B3435343436393135353B2D373336393339
04-06-2021 14:00:44.204,4203,RECV,3637343B30313A30323A3139
04-06-2021 14:00:46.142,4204,RECV,2D332E35363B302E30303B302E30303B2D302E36303B2D302E30323B392E34343B313031
04-06-2021 14:00:46.206,4205,RECV,3133312E38343B3131362E35303B3435343436393134393B2D3733363933393637303B30313A30323A3231
04-06-2021 14:00:48.097,4206,RECV,2D332E35363B302E30303B302E30303B2D302E35393B2D302E30
04-06-2021 14:00:48.161,4207,RECV,333B392E34353B3130313133312E36383B3131362E35313B3435343436393134333B2D3733363933393636373B30313A30323A3233
04-06-2021 14:00:50.179,4208,RECV,2D332E35363B302E30303B302E30303B2D302E35393B302E30303B392E34323B3130313133322E32383B3131
04-06-2021 14:00:50.240,4209,RECV,362E34363B3435343436393134303B2D3733363933393636373B30313A30323A3235
04-06-2021 14:00:52.119,4210,RECV,2D332E35363B302E30303B302E30303B2D302E36
04-06-2021 14:00:52.183,4211,RECV,303B2D302E30323B392E34343B3130313133322E32383B3131362E34363B3435343436393133353B2D3733363933393636383B30313A30323A3237
04-06-2021 14:00:54.120,4212,RECV,2D332E35363B302E30303B302E30303B2D302E36303B302E30303B392E34353B3130313133322E32383B3131362E34363B3435343436
04-06-2021 14:00:54.184,4213,RECV,393132363B2D3733363933393636343B30313A30323A3239
04-06-2021 14:00:56.135,4214,RECV,2D332E35363B30
04-06-2021 14:00:56.199,4215,RECV,2E30303B302E30303B2D302E36313B302E30303B392E34393B3130313133322E34353B3131362E34353B3435343436393131373B2D3733363933393636
04-06-2021 14:00:56.294,4216,RECV,343B30313A30323A3331
04-06-2021 14:00:58.096,4217,RECV,2D332E
04-06-2021 14:00:58.160,4218,RECV,35363B302E30303B302E30303B2D302E35393B2D302E30343B392E34383B3130313133332E32303B3131362E33383B3435343436393130373B2D373336
04-06-2021 14:00:58.223,4219,RECV,3933393636363B30313A30323A3333
04-06-2021 14:01:00.117,4220,RECV,2D332E35363B302E30303B302E30303B2D302E36323B2D302E30343B392E34343B3130313133332E33383B3131362E33373B34353434363931
04-06-2021 14:01:00.180,4221,RECV,30323B2D3733363933393636303B30313A30323A3335
04-06-2021 14:01:02.130,4222,RECV,2D332E35363B302E
04-06-2021 14:01:02.191,4223,RECV,30303B302E30303B2D302E36303B302E30303B392E34343B3130313133332E33383B3131362E33373B3435343436393130323B2D373336393339
04-06-2021 14:01:02.344,4224,RECV,3635343B30313A30323A3337
04-06-2021 14:01:04.101,4225,RECV,2D332E35363B302E30303B30
04-06-2021 14:01:04.165,4226,RECV,2E30303B2D302E36313B2D302E30323B392E34313B3130313133332E34373B3131362E33363B3435343436393130353B2D3733363933393634353B30313A
04-06-2021 14:01:04.229,4227,RECV,30323A3339
04-06-2021 14:01:06.114,4228,RECV,2D332E35363B302E30303B302E30303B2D302E36313B2D302E30313B392E3432
