We are writingRTC is not running
Initialized
Temp: 26.43, Pressure:101015.15, Altitude(BMP,m):126.21,Pitch:0.00,Roll:0.00,Yaw:0.00,Latitude:454469168,Longitude:-736939619,Altitude(GPS,m):13,Time:15:53:28

Temp: 26.42, Pressure:101014.99, Altitude(BMP,m):126.22,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469170,Longitude:-736939624,Altitude(GPS,m):13,Time:15:53:30

Temp: 26.42, Pressure:101014.80, Altitude(BMP,m):126.24,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469168,Longitude:-736939629,Altitude(GPS,m):13,Time:15:53:32

Temp: 26.41, Pressure:101014.47, Altitude(BMP,m):126.27,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469172,Longitude:-736939636,Altitude(GPS,m):13,Time:15:53:34

Temp: 26.41, Pressure:101013.62, Altitude(BMP,m):126.34,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469171,Longitude:-736939642,Altitude(GPS,m):13,Time:15:53:36

Temp: 26.40, Pressure:101013.55, Altitude(BMP,m):126.34,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469170,Longitude:-736939651,Altitude(GPS,m):13,Time:15:53:38

Temp: 26.40, Pressure:101013.45, Altitude(BMP,m):126.35,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469176,Longitude:-736939659,Altitude(GPS,m):13,Time:15:53:40

Temp: 26.40, Pressure:101013.20, Altitude(BMP,m):126.37,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469185,Longitude:-736939668,Altitude(GPS,m):13,Time:15:53:42

Temp: 26.40, Pressure:101012.94, Altitude(BMP,m):126.39,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469192,Longitude:-736939673,Altitude(GPS,m):13,Time:15:53:44

Temp: 26.40, Pressure:101012.60, Altitude(BMP,m):126.42,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469201,Longitude:-736939680,Altitude(GPS,m):13,Time:15:53:46

Temp: 26.39, Pressure:101012.00, Altitude(BMP,m):126.47,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469206,Longitude:-736939688,Altitude(GPS,m):13,Time:15:53:48

Temp: 26.39, Pressure:101011.84, Altitude(BMP,m):126.48,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469208,Longitude:-736939692,Altitude(GPS,m):13,Time:15:53:50

Temp: 26.39, Pressure:101011.84, Altitude(BMP,m):126.48,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469206,Longitude:-736939702,Altitude(GPS,m):13,Time:15:53:52

Temp: 26.39, Pressure:101011.84, Altitude(BMP,m):126.48,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469206,Longitude:-736939710,Altitude(GPS,m):13,Time:15:53:54

Temp: 26.39, Pressure:101011.77, Altitude(BMP,m):126.49,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469202,Longitude:-736939710,Altitude(GPS,m):13,Time:15:53:56

Temp: 26.39, Pressure:101011.95, Altitude(BMP,m):126.48,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469197,Longitude:-736939712,Altitude(GPS,m):13,Time:15:53:58

Temp: 26.39, Pressure:101012.27, Altitude(BMP,m):126.45,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469194,Longitude:-736939713,Altitude(GPS,m):13,Time:15:54:0

Temp: 26.39, Pressure:101012.27, Altitude(BMP,m):126.45,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469188,Longitude:-736939718,Altitude(GPS,m):13,Time:15:54:2

Temp: 26.39, Pressure:101012.44, Altitude(BMP,m):126.43,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469200,Longitude:-736939728,Altitude(GPS,m):13,Time:15:54:4

Temp: 26.39, Pressure:101012.61, Altitude(BMP,m):126.42,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469208,Longitude:-736939734,Altitude(GPS,m):13,Time:15:54:6

Temp: 26.39, Pressure:101012.77, Altitude(BMP,m):126.41,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469216,Longitude:-736939737,Altitude(GPS,m):13,Time:15:54:8

Temp: 26.39, Pressure:101012.94, Altitude(BMP,m):126.39,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469226,Longitude:-736939739,Altitude(GPS,m):13,Time:15:54:10

Temp: 26.39, Pressure:101012.34, Altitude(BMP,m):126.44,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469226,Longitude:-736939742,Altitude(GPS,m):13,Time:15:54:12

Temp: 26.39, Pressure:101012.51, Altitude(BMP,m):126.43,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469235,Longitude:-736939740,Altitude(GPS,m):13,Time:15:54:14

Temp: 26.39, Pressure:101012.51, Altitude(BMP,m):126.43,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469241,Longitude:-736939738,Altitude(GPS,m):13,Time:15:54:16

Temp: 26.39, Pressure:101012.51, Altitude(BMP,m):126.43,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469245,Longitude:-736939735,Altitude(GPS,m):13,Time:15:54:18

Temp: 26.39, Pressure:101012.18, Altitude(BMP,m):126.46,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469252,Longitude:-736939731,Altitude(GPS,m):13,Time:15:54:20

